Professor : ( Z : 0.166667 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 0.258819 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 0.267238 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 0.275637 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 0.284015 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 0.292372 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 0.300706 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 0.309017 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 0.317305 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 0.325568 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 0.333807 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 0.34202 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 0.350207 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 0.358368 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 0.366501 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 0.374607 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 0.382683 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 0.390731 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 0.398749 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 0.406737 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 0.414693 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 0.422618 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 0.430511 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 0.438371 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 0.446198 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 0.45399 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 0.461749 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 0.469471 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 0.477159 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 0.48481 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 0.492423 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 0.5 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 0.507538 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 0.515038 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 0.522498 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 0.529919 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 0.5373 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 0.544639 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 0.551937 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 0.559193 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 0.566406 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 0.573576 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 0.580703 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 0.587785 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 0.594823 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 0.601815 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 0.608761 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 0.615661 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 0.622514 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 0.62932 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 0.636078 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 0.642788 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 0.649448 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 0.656059 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 0.66262 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 0.669131 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 0.67559 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 0.681998 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 0.688354 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 0.694658 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 0.700909 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 0.707107 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 0.71325 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 0.71934 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 0.725374 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 0.731354 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 0.737277 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 0.743145 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 0.748956 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 0.754709 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 0.760406 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 0.766044 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 0.771624 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 0.777146 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 0.782608 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 0.788011 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 0.793353 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 0.798635 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 0.803857 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 0.809017 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 0.814115 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 0.819152 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 0.824126 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 0.829037 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 0.833886 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 0.83867 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 0.843391 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 0.848048 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 0.85264 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 0.857167 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 0.861629 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 0.866025 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 0.870356 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 0.87462 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 0.878817 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 0.882947 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 0.887011 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 0.891006 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 0.894934 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 0.898794 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 0.902585 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 0.906308 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 0.909961 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 0.913545 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 0.91706 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 0.920505 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 0.923879 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 0.927184 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 0.930417 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 0.93358 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 0.936672 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 0.939693 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 0.942641 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 0.945518 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 0.948324 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 0.951056 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 0.953717 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 0.956305 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 0.95882 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 0.961262 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 0.96363 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 0.965926 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 0.968148 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 0.970296 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 0.97237 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 0.97437 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 0.976296 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 0.978148 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 0.979925 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 0.981627 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 0.983255 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 0.984808 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 0.986286 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 0.987688 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 0.989016 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 0.990268 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 0.991445 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 0.992546 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 0.993572 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 0.994522 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 0.995396 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 0.996195 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 0.996917 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 0.997564 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 0.998135 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 0.99863 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 0.999048 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 0.999391 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 0.999657 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 0.999848 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 0.999962 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 1 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 0.999962 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 0.999848 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 0.999657 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 0.999391 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 0.999048 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 0.99863 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 0.998135 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 0.997564 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 0.996917 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 0.996195 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 0.995396 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 0.994522 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 0.993572 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 0.992546 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 0.991445 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 0.990268 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 0.989016 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 0.987688 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 0.986286 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 0.984808 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 0.983255 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 0.981627 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 0.979925 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 0.978148 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 0.976296 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 0.97437 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 0.97237 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 0.970296 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 0.968148 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 0.965926 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 0.963631 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 0.961262 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 0.95882 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 0.956305 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 0.953717 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 0.951057 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 0.948324 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 0.945519 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 0.942642 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 0.939693 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 0.936672 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 0.933581 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 0.930418 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 0.927184 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 0.92388 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 0.920505 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 0.91706 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 0.913546 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 0.909961 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 0.906308 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 0.902586 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 0.898794 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 0.894935 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 0.891007 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 0.887011 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 0.882948 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 0.878817 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 0.87462 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 0.870356 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 0.866026 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 0.861629 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 0.857168 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 0.85264 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 0.848048 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 0.843392 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 0.838671 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 0.833886 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 0.829038 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 0.824126 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 0.819152 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 0.814116 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 0.809017 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 0.803857 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 0.798636 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 0.793354 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 0.788011 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 0.782609 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 0.777146 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 0.771625 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 0.766045 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 0.760406 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 0.75471 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 0.748956 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 0.743145 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 0.737278 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 0.731354 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 0.725375 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 0.71934 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 0.713251 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 0.707107 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 0.70091 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 0.694659 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 0.688355 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 0.681999 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 0.675591 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 0.669131 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 0.66262 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 0.65606 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 0.649448 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 0.642788 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 0.636079 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 0.629321 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 0.622515 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 0.615662 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 0.608762 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 0.601815 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 0.594823 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 0.587786 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 0.580703 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 0.573577 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 0.566407 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 0.559193 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 0.551938 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 0.544639 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 0.5373 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 0.52992 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 0.522499 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 0.515039 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 0.507539 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 0.5 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 0.492424 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 0.48481 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 0.477159 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 0.469472 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 0.461749 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 0.453991 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 0.446198 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 0.438372 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 0.430512 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 0.422619 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 0.414694 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 0.406737 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 0.39875 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 0.390732 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 0.382684 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 0.374607 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 0.366502 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 0.358369 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 0.350208 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 0.342021 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 0.333807 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 0.325569 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 0.317305 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 0.309017 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 0.300706 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 0.292372 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 0.284016 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 0.275638 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 0.267239 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 0.25882 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 0.250381 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 0.241923 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 0.233446 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 0.224952 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 0.21644 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 0.207912 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 0.199369 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : 0.19081 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : 0.182236 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : 0.173649 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : 0.165048 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : 0.156435 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : 0.14781 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : 0.139174 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : 0.130527 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : 0.12187 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : 0.113204 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : 0.104529 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : 0.0958463 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : 0.0871563 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : 0.0784598 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : 0.0697572 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : 0.0610493 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : 0.0523365 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : 0.04362 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : 0.0349002 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : 0.0261777 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : 0.0174532 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : 0.00872711 )   Fish : ( X : 50, Z : 100 )
Professor : ( Z : 6.27833e-007 )   Fish : ( X : 51.7037, Z : 87.0591 )
Professor : ( Z : 6.27833e-007 )   Fish : ( X : 56.6987, Z : 75 )
Professor : ( Z : -0.166666 )   Fish : ( X : 64.6446, Z : 64.6447 )
Professor : ( Z : -0.333333 )   Fish : ( X : 75, Z : 56.6988 )
Professor : ( Z : -0.499999 )   Fish : ( X : 87.059, Z : 51.7037 )
Professor : ( Z : -0.666666 )   Fish : ( X : 100, Z : 50 )
Professor : ( Z : -0.833333 )   Fish : ( X : 112.941, Z : 51.7037 )
Professor : ( Z : -0.999999 )   Fish : ( X : 125, Z : 56.6987 )
Professor : ( Z : -1.16667 )   Fish : ( X : 135.355, Z : 64.6446 )
Professor : ( Z : -1.33333 )   Fish : ( X : 143.301, Z : 74.9999 )
Professor : ( Z : -1.5 )   Fish : ( X : 148.296, Z : 87.059 )
Professor : ( Z : -1.66667 )   Fish : ( X : 150, Z : 100 )
Professor : ( Z : -1.83333 )   Fish : ( X : 148.296, Z : 112.941 )
Professor : ( Z : -2 )   Fish : ( X : 143.301, Z : 125 )
Professor : ( Z : -2.16667 )   Fish : ( X : 135.355, Z : 135.355 )
Professor : ( Z : -2.33333 )   Fish : ( X : 125, Z : 143.301 )
Professor : ( Z : -2.5 )   Fish : ( X : 112.941, Z : 148.296 )
Professor : ( Z : -2.66667 )   Fish : ( X : 100, Z : 150 )
Professor : ( Z : -2.83333 )   Fish : ( X : 87.0591, Z : 148.296 )
Professor : ( Z : -3 )   Fish : ( X : 75, Z : 143.301 )
Professor : ( Z : -3.16667 )   Fish : ( X : 64.6447, Z : 135.355 )
Professor : ( Z : -3.33333 )   Fish : ( X : 56.6987, Z : 125 )
Professor : ( Z : -3.5 )   Fish : ( X : 51.7037, Z : 112.941 )
Professor : ( Z : -3.66667 )   Fish : ( X : 50, Z : 100 )
